location,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Cloud Cover Total,Sunshine Duration,Shortwave Radiation
unit,°C,%,%,min,W/m²
level,2 m elevation corrected,2 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Sunshine Duration,Basel Shortwave Radiation
20220112T2200,-3.0497546,90.24075,2.0,0.0,0.0
20220112T2300,-3.3897548,89.3848,0.0,0.0,0.0
20220113T0000,-3.6697545,89.76422,1.0,0.0,0.0
20220113T0100,-3.8997545,90.56654,3.0,0.0,0.0
20220113T0200,-3.979755,91.25326,8.0,0.0,0.0
20220113T0300,-3.9197545,89.25767,13.0,0.0,0.0
20220113T0400,-4.1997547,90.46639,11.0,0.0,0.0
20220113T0500,-4.2597547,89.76898,8.0,0.0,0.0
20220113T0600,-4.1997547,88.272026,9.0,0.0,0.0
20220113T0700,-4.0897546,88.217445,7.0,0.0,0.0
20220113T0800,-4.0897546,88.42084,7.0,0.0,0.0
20220113T0900,-3.4397545,85.11142,9.0,42.22872,15.0
20220113T1000,-1.4497546,81.10887,5.0,56.808514,110.0
20220113T1100,-0.0697546,76.87557,8.0,54.893616,215.0
20220113T1200,1.0102454,74.35736,8.0,54.893616,286.0
20220113T1300,2.1802454,71.33248,7.0,55.531918,315.0
20220113T1400,2.9702454,70.39694,2.0,58.723404,309.0
20220113T1500,3.3602452,71.850716,4.0,57.44681,244.0
20220113T1600,2.5802455,78.51259,2.0,58.723404,145.0
20220113T1700,0.2602454,83.84973,1.0,59.361702,37.0
20220113T1800,-0.5597546,86.922806,1.0,4.4686174,0.0
20220113T1900,-1.0097545,88.24377,10.200001,0.0,0.0
20220113T2000,-1.4497546,88.458496,0.3,0.0,0.0
20220113T2100,-2.0797548,89.324684,0.0,0.0,0.0
20220113T2200,-2.5697546,92.14954,0.0,0.0,0.0
20220113T2300,-2.6697545,89.73482,0.0,0.0,0.0
20220114T0000,-2.9397545,89.50202,0.0,0.0,0.0
20220114T0100,-3.0997548,90.51005,2.0,0.0,0.0
20220114T0200,-3.2597547,90.28766,0.0,0.0,0.0
20220114T0300,-3.3897548,90.48057,1.0,0.0,0.0
20220114T0400,-3.519755,90.81249,0.0,0.0,0.0
20220114T0500,-3.8697548,91.124695,0.0,0.0,0.0
20220114T0600,-3.9897547,90.90421,0.0,0.0,0.0
20220114T0700,-4.1897545,91.16296,1.0,0.0,0.0
20220114T0800,-4.1097546,91.240585,1.0,0.0,0.0
20220114T0900,-3.3397546,90.21072,2.0,46.260994,17.0
20220114T1000,-1.3897547,88.93092,1.0,59.361702,111.0
20220114T1100,0.17024541,84.65231,3.0,58.085106,217.0
20220114T1200,1.8202454,78.49607,2.0,58.723404,293.0
20220114T1300,3.1202455,74.39115,1.0,59.361702,322.0
20220114T1400,4.110245,71.27184,2.0,58.723404,306.0
20220114T1500,4.8102455,69.30942,1.0,59.361702,243.0
20220114T1600,5.7802453,62.80375,1.0,59.361702,144.0
20220114T1700,3.6202455,72.97239,1.0,59.361702,39.0
20220114T1800,0.11024541,85.08624,1.0,5.754787,0.0
20220114T1900,-0.64975464,88.0874,0.0,0.0,0.0
20220114T2000,-1.4597546,90.6727,0.0,0.0,0.0
20220114T2100,-1.9997545,91.922844,0.0,0.0,0.0
20220114T2200,-2.1397548,92.74275,0.0,0.0,0.0
20220114T2300,-2.2597547,91.968895,1.0,0.0,0.0
20220115T0000,-2.3197546,91.89436,1.0,0.0,0.0
20220115T0100,-2.5697546,92.63716,1.0,0.0,0.0
20220115T0200,-2.8097544,93.389175,0.0,0.0,0.0
20220115T0300,-3.2497544,94.77796,0.0,0.0,0.0
20220115T0400,-3.4297547,95.34119,0.0,0.0,0.0
20220115T0500,-3.6497545,95.25468,0.0,0.0,0.0
20220115T0600,-3.8097548,95.38886,0.0,0.0,0.0
20220115T0700,-3.7997546,95.10026,1.0,0.0,0.0
20220115T0800,-4.1297545,95.077965,2.0,0.0,0.0
20220115T0900,-3.1497545,93.64522,2.0,46.799294,18.0
20220115T1000,-1.4397546,91.560616,0.0,60.0,115.0
20220115T1100,-0.46975458,89.56211,14.0,51.06383,223.0
20220115T1200,0.7202454,85.48355,0.0,60.0,300.0
20220115T1300,2.0402455,82.025795,1.0,59.361702,331.0
20220115T1400,3.3102455,79.7378,3.0,58.085106,315.0
20220115T1500,3.5502453,78.96703,1.0,59.361702,252.0
20220115T1600,3.7602453,75.67195,2.0,58.723404,151.0
20220115T1700,2.9002452,81.73642,2.0,58.723404,42.0
20220115T1800,-0.24975461,89.12063,2.0,6.9978724,0.0
20220115T1900,-0.87975454,90.86382,5.0,0.0,0.0
20220115T2000,-1.5597545,93.067955,1.5,0.0,0.0
20220115T2100,-1.8997546,93.7402,3.6000001,0.0,0.0
20220115T2200,-2.0397544,95.00155,3.3000002,0.0,0.0
20220115T2300,-2.0497546,94.71696,1.0,0.0,0.0
20220116T0000,-2.1797547,95.491714,1.0,0.0,0.0
20220116T0100,-2.2897544,95.98696,3.0,0.0,0.0
20220116T0200,-2.3097544,95.26925,6.0,0.0,0.0
20220116T0300,-2.0197544,92.61359,5.0,0.0,0.0
20220116T0400,-1.8297547,92.00683,5.0,0.0,0.0
20220116T0500,-1.8697547,90.63267,6.0,0.0,0.0
20220116T0600,-1.9497546,89.47334,4.0,0.0,0.0
20220116T0700,-2.1097546,88.5834,2.0,0.0,0.0
20220116T0800,-2.3297548,89.095406,1.0,0.0,0.0
20220116T0900,-1.9597546,88.73407,2.0,47.51702,18.0
20220116T1000,-0.8497546,88.32796,2.0,58.723404,107.0
20220116T1100,0.1802454,83.27787,35.0,37.659573,212.0
20220116T1200,0.7602454,82.13383,39.0,35.106384,291.0
20220116T1300,1.6402454,77.07898,50.0,28.085108,329.0
20220116T1400,2.3102455,74.56149,32.0,39.57447,328.0
20220116T1500,2.2402453,74.437035,64.0,19.148937,255.0
20220116T1600,2.0102453,80.46583,47.0,30.0,144.0
20220116T1700,0.2402454,86.05725,42.0,33.19149,45.0
20220116T1800,-0.52975464,88.23251,54.0,3.64539,0.0
20220116T1900,-0.3797546,87.399536,62.0,0.0,0.0
20220116T2000,0.13024542,85.66037,86.0,0.0,0.0
20220116T2100,0.19024539,83.83972,91.0,0.0,0.0
20220116T2200,0.5902454,80.953995,97.0,0.0,0.0
20220116T2300,0.6602454,85.09678,100.0,0.0,0.0
20220117T0000,0.9302454,83.634605,96.0,0.0,0.0
20220117T0100,0.9302454,84.63074,97.0,0.0,0.0
20220117T0200,0.8602454,86.19943,90.0,0.0,0.0
20220117T0300,0.7502454,86.88882,93.0,0.0,0.0
20220117T0400,0.4402454,89.72147,92.0,0.0,0.0
20220117T0500,0.84024537,89.169525,83.0,0.0,0.0
