2theta/Degree,Intensity_GFO(Ga/Fe=1),Normalised_XRD_different ratio,Ga/Fe=1,Normalised_XRD_different ratio,Ga/Fe=0.5
27.51765,526.68526,27.51765,0.00383,27.51765,0.03528
27.53732,559.35801,27.53732,0.00407,27.53733,0.03091
27.557,598.21873,27.557,0.00435,27.557,0.03647
27.57668,644.24237,27.57668,0.00469,27.57668,0.03275
27.59636,699.02406,27.59636,0.00509,27.59636,0.03365
27.61604,765.22324,27.61604,0.00557,27.61604,0.03471
27.63572,844.75555,27.63572,0.00615,27.63572,0.03587
27.6554,940.3506,27.6554,0.00684,27.6554,0.03572
27.67508,1056.47425,27.67508,0.00769,27.67508,0.04227
27.69476,1199.50156,27.69476,0.00873,27.69476,0.0392
27.71444,1378.87752,27.71444,0.01004,27.71444,0.04471
27.73412,1607.55352,27.73412,0.0117,27.73412,0.04579
27.7538,1901.55101,27.7538,0.01384,27.7538,0.05374
27.77348,2281.84705,27.77348,0.01661,27.77348,0.06441
27.79316,2778.9363,27.79316,0.02023,27.79316,0.08236
27.81284,3441.43272,27.81284,0.02505,27.81284,0.10392
27.83252,4351.66069,27.83252,0.03168,27.83252,0.13347
27.8522,5648.2944,27.8522,0.04111,27.8522,0.16097
27.87188,7566.26603,27.87188,0.05507,27.87188,0.19003
27.89156,10455.23414,27.89156,0.0761,27.89156,0.21421
27.91124,14458.17475,27.91124,0.10524,27.91124,0.23595
27.93092,18558.70572,27.93092,0.13509,27.93092,0.2342
27.9506,21438.75154,27.9506,0.15605,27.9506,0.21088
27.97028,24426.82388,27.97028,0.1778,27.97028,0.16718
27.98996,28796.87587,27.98996,0.20961,27.98996,0.13557
28.00964,31448.02394,28.00964,0.22891,28.00964,0.11446
28.02932,29119.73443,28.02932,0.21196,28.02932,0.08737
28.049,24705.00306,28.049,0.17983,28.049,0.06302
28.06868,21113.83366,28.06868,0.15369,28.06868,0.05002
28.08836,17512.59138,28.08836,0.12747,28.08836,0.03848
28.10804,13193.1928,28.10804,0.09603,28.10804,0.04023
28.12772,9265.05242,28.12772,0.06744,28.12772,0.04058
28.1474,6396.60233,28.1474,0.04656,28.1474,0.03717
28.16708,4529.15962,28.16708,0.03297,28.16708,0.03448
28.18675,3373.1823,28.18675,0.02455,28.18676,0.03378
28.20643,2653.74046,28.20643,0.01932,28.20643,0.03329
28.22611,2183.0722,28.22611,0.01589,28.22611,0.03554
28.24579,1852.82306,28.24579,0.01349,28.24579,0.03484
28.26547,1605.30501,28.26547,0.01168,28.26547,0.03357
28.28515,1410.57972,28.28515,0.01027,28.28515,0.03226
28.30483,1253.0519,28.30483,0.00912,28.30483,0.03466
28.32451,1124.18199,28.32451,0.00818,28.32451,0.03616
28.34419,1018.77202,28.34419,0.00742,28.34419,0.03218
28.36387,933.26009,28.36387,0.00679,28.36387,0.03278
28.38355,865.06515,28.38355,0.0063,28.38355,0.03014
28.40323,812.4154,28.40323,0.00591,28.40323,0.032
28.42291,774.36157,28.42291,0.00564,28.42291,0.03412
28.44259,750.8326,28.44259,0.00547,28.44259,0.02945
28.46227,742.65765,28.46227,0.00541,28.46227,0.03185
28.48195,751.50887,28.48195,0.00547,28.48195,0.03231
28.50163,779.81583,28.50163,0.00568,28.50163,0.03698
28.52131,830.98188,28.52131,0.00605,28.52131,0.03668
28.54099,910.65524,28.54099,0.00663,28.54099,0.04408
28.56067,1029.82747,28.56067,0.0075,28.56067,0.0421
28.58035,1209.62109,28.58035,0.0088,28.58035,0.05083
28.60003,1487.51042,28.60003,0.01083,28.60003,0.05707
28.61971,1926.48527,28.61971,0.01402,28.61971,0.05649
28.63939,2614.75151,28.63939,0.01903,28.63939,0.05008
28.65907,3571.84101,28.65907,0.026,28.65907,0.05165
28.67875,4458.88995,28.67875,0.03246,28.67875,0.04825
28.69843,4676.83764,28.69843,0.03404,28.69843,0.04285
28.71811,4309.46927,28.71811,0.03137,28.71811,0.03933
28.73779,3878.13973,28.73779,0.02823,28.73779,0.03473
28.75747,3446.42553,28.75747,0.02509,28.75747,0.03296
28.77715,2818.52961,28.77715,0.02052,28.77715,0.03329
28.79683,2104.11555,28.79683,0.01532,28.79683,0.03283
28.81651,1503.10323,28.81651,0.01094,28.81651,0.02962
28.83618,1075.34339,28.83618,0.00783,28.83619,0.03287
28.85586,796.58959,28.85586,0.0058,28.85587,0.03814
28.87554,621.13754,28.87554,0.00452,28.87554,0.03319
28.89522,507.15494,28.89522,0.00369,28.89522,0.03025
28.9149,426.7147,28.9149,0.00311,28.9149,0.03146
28.93458,366.08149,28.93458,0.00266,28.93458,0.03169
28.95426,315.58115,28.95426,0.0023,28.95426,0.03301
28.97394,267.7544,28.97394,0.00195,28.97394,0.03061
28.99362,225.02914,28.99362,0.00164,28.99362,0.03344
29.0133,187.50387,29.0133,0.00136,29.0133,0.03352
29.03298,155.98497,29.03298,0.00114,29.03298,0.03061
29.05266,133.19033,29.05266,9.69E-04,29.05266,0.03306
29.07234,114.03824,29.07234,8.30E-04,29.07234,0.02678
29.09202,97.9872,29.09202,7.13E-04,29.09202,0.03149
